,audio_time,sampling_rate,feature_extraction,label,description
0,"[-2.1362305e-04 -2.4414062e-04 -2.5939941e-04 ... -4.5776367e-05
  4.5776367e-05 -4.5776367e-05]",22050,"[[-1.43898367e+01 -1.00238000e+01  2.21574723e-01 ...  1.17496977e-01
  -4.27125016e-01 -4.09770367e-02]
 [-1.44140222e+01 -1.06725746e+01  7.16608847e-01 ... -7.57958974e-01
  -5.56416084e-01 -6.52422192e-01]
 [-1.41085660e+01 -1.10557381e+01  1.39071432e+00 ...  9.66824552e-02
   4.47954702e-01  7.31295808e-01]
 ...
 [-1.40000276e+01 -1.20220146e+01  2.77149525e-01 ...  2.71898219e+00
   1.49658988e+00  3.74168094e-01]
 [-1.38251225e+01 -1.16836165e+01  1.23763717e-02 ... -1.51035747e-01
  -2.38420477e-01 -6.33205137e-01]
 [-1.39339302e+01 -1.03861543e+01  1.96964142e+00 ...  4.19107630e-01
   1.71902142e-01 -4.59998598e-01]]",0,กระชาย
1,"[-1.5258789e-05  1.5258789e-05 -1.5258789e-05 ... -9.1552734e-05
 -1.8310547e-04 -2.2888184e-04]",22050,"[[-13.83422269 -11.27803276  -1.40700243 ...   0.12098554  -0.19256331
   -1.15025414]
 [-13.99769771 -11.08298933  -0.97095458 ...  -0.24572662  -0.28655816
   -1.24357339]
 [-14.02037237 -11.14559743  -0.52400633 ...   0.09763936   0.30802555
   -1.12296711]
 ...
 [-14.1590145  -11.10957468   1.73965583 ...   0.52699558   0.46272721
   -0.14522478]
 [-13.80873415 -11.81835328   1.02325485 ...   1.15925173   0.32649296
   -0.2057199 ]
 [-13.86123411 -10.9430527    0.39793763 ...   1.50795782   0.56607205
   -0.35340372]]",0,กระชาย
2,"[-9.1552734e-05 -1.2207031e-04 -1.3732910e-04 ... -7.6293945e-05
 -7.6293945e-05 -9.1552734e-05]",22050,"[[-13.95247446 -10.97996817   1.84970783 ...   1.29502554  -0.16291424
    0.46881553]
 [-14.15987548 -11.41130426  -0.51619979 ...   0.85658013  -0.76819569
    0.36265893]
 [-14.06125265 -12.41220359  -0.64136338 ...   0.10419746  -0.19172038
   -0.19916235]
 ...
 [-13.92637031 -11.81482168   1.24914476 ...   0.73024226  -0.36879448
   -0.51820857]
 [-14.09395636 -11.12907725   2.61289235 ...   0.14014635   0.09135307
    0.22013856]
 [-14.09685217 -10.54849579   2.5831572  ...   0.3567751    0.61228237
    1.25611418]]",0,กระชาย
3,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.3732910e-04
 -3.0517578e-05  1.5258789e-05]",22050,"[[-1.41753099e+01 -1.07234285e+01  1.06759005e+00 ...  1.04247001e+00
  -3.17795672e-01 -9.26650005e-01]
 [-1.38624549e+01 -1.15414093e+01  1.36834145e+00 ...  1.23743736e+00
   1.59721218e-01 -2.81391741e-01]
 [-1.40066433e+01 -1.13923766e+01  8.93164697e-01 ...  5.92710423e-01
   3.39729344e-01  5.03280690e-01]
 ...
 [-1.39340382e+01 -9.89589224e+00  4.59570943e-03 ...  3.72790697e-01
   6.02781134e-01 -3.07454558e-02]
 [-1.40115061e+01 -9.49836871e+00  7.33238482e-01 ... -9.99856419e-02
  -7.51966101e-02 -1.28353841e-02]
 [-1.38615218e+01 -1.19969508e+01  9.69518545e-01 ...  5.56771974e-01
   4.61794186e-01 -1.24999915e-01]]",0,กระชาย
4,"[-7.6293945e-05 -1.5258789e-04 -1.0681152e-04 ... -1.3732910e-04
 -1.2207031e-04 -1.5258789e-05]",22050,"[[-1.39636243e+01 -1.08343064e+01  4.02730021e+00 ...  1.10909008e+00
  -5.60082994e-01  4.93355058e-02]
 [-1.39930550e+01 -9.66056734e+00  4.35813165e+00 ...  1.20406316e+00
  -3.52732581e-01 -9.69042044e-01]
 [-1.39306207e+01 -1.14590141e+01  4.15745816e+00 ...  1.19490860e+00
   1.32858455e+00 -1.10247389e-02]
 ...
 [-1.36886868e+01 -1.15201740e+01 -1.15027573e+00 ... -3.36251764e-01
   4.67160716e-01 -2.82800291e-01]
 [-1.38969499e+01 -1.09195896e+01  3.05427009e-01 ... -6.28207636e-01
  -5.94791258e-01 -1.08792083e+00]
 [-1.40215274e+01 -9.71381500e+00 -3.09082381e-01 ... -1.24377519e+00
   3.63497715e-01 -6.02968104e-01]]",0,กระชาย
5,"[-1.3732910e-04 -1.0681152e-04 -1.3732910e-04 ... -1.9836426e-04
 -4.5776367e-05 -1.8310547e-04]",22050,"[[-1.42942720e+01 -1.25199381e+01  2.45358499e+00 ...  1.53771406e+00
   2.76147700e+00  8.23157161e-01]
 [-1.43078695e+01 -1.27779337e+01  3.47817324e+00 ...  1.32571890e+00
   8.83400891e-01 -4.59618847e-01]
 [-1.41444707e+01 -1.22791770e+01  3.45894524e+00 ...  3.84767815e-01
  -7.08585056e-01 -1.96245406e+00]
 ...
 [-1.38663176e+01 -1.23277208e+01 -5.85626970e-01 ... -1.53004686e-02
  -1.91555003e-02 -1.10381071e-01]
 [-1.40407551e+01 -1.29313012e+01 -6.28966687e-01 ... -3.75337914e-02
   2.05845480e-03  9.44162303e-01]
 [-1.40178410e+01 -1.39133672e+01 -1.46454359e+00 ...  1.30820441e-01
   3.37517553e-01  1.80818912e+00]]",0,กระชาย
6,"[-0.00097656 -0.00144958 -0.00137329 ... -0.00028992 -0.0002594
 -0.00022888]",22050,"[[-13.84125186 -10.54205215   1.73977929 ...   1.1782072    0.88384111
   -0.51058512]
 [-14.04786266 -12.62024085   3.10330524 ...   0.18632835   0.13506994
   -0.35855617]
 [-13.9487537  -13.37980204   2.17200969 ...   0.86255476   0.69651386
    0.07755607]
 ...
 [-14.12728022  -9.69869735   1.78400302 ...   0.48547783   0.52485185
   -0.59194357]
 [-14.07922232 -10.27812158   0.66253544 ...  -0.89198245  -0.0421818
    0.06869497]
 [-14.10501409  -8.65492226   1.69287464 ...  -0.45383221   0.3108025
   -0.25059299]]",0,กระชาย
7,"[-2.4414062e-04 -2.5939941e-04 -2.2888184e-04 ... -1.5258789e-05
  4.5776367e-05 -6.1035156e-05]",22050,"[[-1.38497917e+01 -1.15884700e+01 -7.28152596e-01 ... -4.20952754e-01
  -2.81679870e-02 -3.46066628e-01]
 [-1.40070923e+01 -1.12391299e+01  9.50689319e-01 ...  1.34894149e-01
  -2.82074955e-01  1.05508147e-02]
 [-1.40015869e+01 -1.07349033e+01  1.90171637e+00 ... -2.30967228e-01
  -7.63747564e-01 -1.13799889e+00]
 ...
 [-1.39704077e+01 -1.18001645e+01  8.50264185e-02 ... -3.21645066e-01
  -1.70373137e-01 -1.25769343e+00]
 [-1.39850929e+01 -1.03903584e+01  1.06728197e+00 ... -3.83787004e-01
   4.48300803e-01 -4.67153059e-01]
 [-1.40188163e+01 -1.00449157e+01 -7.04409556e-02 ...  1.13331970e+00
  -2.02385395e-01 -2.25911314e-01]]",0,กระชาย
8,"[ 1.5258789e-05 -4.5776367e-05  0.0000000e+00 ...  1.5258789e-05
  1.5258789e-05 -6.1035156e-05]",22050,"[[-1.39733243e+01 -9.65165141e+00  8.67613204e-01 ...  3.66837664e-01
  -3.78911097e-01 -5.93564537e-01]
 [-1.41150803e+01 -9.70668073e+00  2.88608904e+00 ...  1.25792560e-01
  -1.09795975e+00 -1.20484072e+00]
 [-1.41585238e+01 -1.08959517e+01  2.87622811e+00 ...  8.89346011e-01
   8.04392877e-02 -6.47524624e-01]
 ...
 [-1.40707186e+01 -1.25901922e+01  8.93851969e-01 ...  1.04457751e-01
  -2.41772987e-01 -1.98585783e-01]
 [-1.44208982e+01 -1.19717982e+01 -3.76653866e-03 ...  2.74716224e-01
   4.04508516e-01 -5.84755108e-01]
 [-1.40859395e+01 -1.23283741e+01 -1.79425024e-01 ... -5.02516384e-01
  -7.30422299e-01 -5.46050144e-01]]",0,กระชาย
9,"[ 1.5258789e-04  2.2888184e-04  2.2888184e-04 ...  0.0000000e+00
 -1.5258789e-05  0.0000000e+00]",22050,"[[-14.04757365  -9.96829796   3.30461802 ...  -0.11460922   1.41646158
    0.62340674]
 [-14.03423529 -11.47957002   2.48967818 ...   1.19920208   1.59077212
    0.07121874]
 [-14.10609325 -12.59308127   3.9389344  ...   1.34480591   1.749806
   -0.0252069 ]
 ...
 [-14.0242823   -9.75586559  -0.17023134 ...   0.66731328   0.40229432
    0.37363793]
 [-13.92081604 -10.45967316   0.82415129 ...   0.65120123  -0.15700461
   -0.36925423]
 [-14.06226164 -10.90213786   0.53906518 ...   1.3384404    0.97161214
    0.10345859]]",0,กระชาย
